id	implemented behavior	runtime references	check references	additional qualification
GA-A01	The opening, current goal, actual action feedback and ending explain Pip's purpose and the connected next task; independent first-time comprehension still needs owner and learner review.	app,chapter,content	whole,matrix	owner,learner
GA-A02	Jo and ready Loop introduce guiding Pip and later showing the resulting adventure; beginning enters the playable river world.	app,scene,content	whole	
GA-A03	The original carried seed moves through optional cargo receipt to joint planting, growth, Pip's memory and the final opening paragraph.	model,river,lanterns,finale	whole,river,finale,matrix	
GA-A04	Grandma's initial assumption is followed by Mara's actual schedule report and Sol's spoken disclosure before Grandma finishes and tells her account.	gathering,chapter,panels	whole,gathering,matrix	
GA-A05	Current source wording places changed hours and reluctance before storm damage; completing the bridge does not complete work or the later conversations.	content,chapterContent,mara,gathering	whole,mara,matrix	
GA-A06	The full chapter reaches an actual closing and matching Loop show; the separately edited recording is bound to real route footage.	chapter,finale,guide	whole,matrix,recording	
GA-A07	Reader context and world controls identify Pip, directed Sol, earlier-story Mara and the current speaker; support returns to that role.	interaction,app,bakeryControls,maraControls,gatheringControls	whole,interaction,bakery,mara,gathering	
GA-A08	Confirmation leaves the reader for atomic pickup, delivery, repair, rehearsal, arrivals, speaking, memory or presentation under the same coordinator.	model,worldActivity,bakeryWorld,gatheringWorld,finale	whole,interaction,bakery,mara,gathering,finale	
GA-A09	Instructions establish reach, fastenings, schedule, permission, leak and story consequences before their choices; tests exercise applying and revising them, not child understanding.	content,chapterContent,chapter,model	whole,river,bakery,mara,interaction,matrix	learner
GA-A10	Current copy names the actor, object and purpose; local word and phrase support remains available. Adult inspection does not establish age-band usability.	content,chapterContent,interaction	whole,words,interaction	owner,learner
GA-B01	Dock, bridge material area, garden, connected bakery and workshop each have approaches, named controls, relevant objects and observable work.	scene,bakeryWorld,chapterWorld,app	whole,bakery,river,mara	
GA-B02	Current cast roles and attributed turns remain distinct; the bird boy's grandmother is separate, Duet uses a passenger, and the dock has a separate operator.	art,storyStage,maraWorld,gatheringWorld,gathering	whole,mara,gathering,finale	
GA-B03	Actual targets have scene picking and named controls; contextual activity instructions distinguish items, previews, sources and scenery.	scene,app,bakeryControls,maraControls,boatControls	whole,river,bakery,mara	
GA-B04	The maintenance notice identifies Grandma's two reusable storm-damaged wooden sections and ropes with standing permission; there is no invented wood crafting economy.	content,river,app	whole,river	
GA-B05	Collecting the maintenance ropes and Rina's permitted spare tile visibly changes possession and enables their distinct uses.	model,river,bakery,bakeryWorld	river,bakery,matrix	
GA-B06	Backpack entries explain seed, page, ropes and tile ownership/use; finished stories are separately identified readable records.	app,river,bakery	river,bakery,interaction	
GA-B07	Pickup, handoff, planting, roof delivery, return-copy delivery and archived restart retain exact owners and do not duplicate records or objects.	model,persistence,lanterns	whole,river,bakery,save,matrix	
GA-B08	Contextual actions name the item and recipient, then show the actual handoff; no arbitrary inventory drag is required.	app,model,bakeryControls,gatheringPanels	whole,interaction,bakery,river	
